rank,distributor,movies,total box office,tickets,share
598,Honora Productions,2,23047,2733,0.00
599,Quixotic Media,1,22938,3501,0.00
600,Cabin Films,1,22539,2856,0.00
601,Unison Films,1,22251,3099,0.00
602,Dinsdale Releasing,2,21946,3482,0.00
603,Lopert Pictures Corporation,1,21711,2575,0.00
604,MCR Releasing,1,21489,2992,0.00
605,"Ghosts Media, Inc.",1,20709,2547,0.00
606,Bramacharia LLC,1,20441,2424,0.00
607,Plymptoons,2,20419,2603,0.00
608,America Saga Releasing,1,20300,2559,0.00
609,Cinema Tropical,1,19791,3021,0.00
610,Schwarzsmith &amp; Taskovski,1,19662,2857,0.00
611,Revolver Entertainment,2,19313,2485,0.00
612,Sky Harbor Basement,1,19257,3100,0.00
613,House Lights Media,1,19186,2359,0.00
614,People Pictures,1,19137,2425,0.00
615,Mondo Paradiso Films,1,18654,2212,0.00
616,Pocket Releasing,1,18445,2680,0.00
617,American World Pictures,1,18215,2428,0.00
618,WRA Productions LLC,1,18051,2141,0.00
619,Rooftop Films,1,17981,2267,0.00
620,Wolfe Twenty,1,17625,2350,0.00
621,Check Entertainment Distribution,1,17107,2157,0.00
622,Xenon Pictures,1,16791,2440,0.00
623,The Film Collective,1,16772,2062,0.00
624,Slamdance on the Road,1,16265,2619,0.00
625,Off-Hollywood Distribution,2,16137,2637,0.00
626,Captured Films,1,16136,2345,0.00
627,Vertical Entertainment,2,16009,1898,0.00
628,Driving With Our Eyes Shut,6,15763,1939,0.00
629,Palo Alto Pictures,1,15679,2524,0.00
630,Vagrant Films,3,15547,2017,0.00
631,600 West,1,15425,2242,0.00
632,NeoClassics Films,1,15000,2000,0.00
633,"Time and Tide Productions, Inc.",1,15000,1779,0.00
634,HP Releasing,1,14804,2260,0.00
635,The 7th Floor,2,14756,2252,0.00
636,Cafe Pictures,1,14616,1733,0.00
637,Atopia,2,14389,2290,0.00
638,Cockeyed Caravan,1,14305,2231,0.00
639,Secret Identity Productions,1,14057,1765,0.00
640,Margin Films,3,13937,2362,0.00
641,Arab Film Distribution,7,13840,2191,0.00
642,Troma Entertainment,1,13804,1922,0.00
643,Four Eyed Monsters,1,13523,2064,0.00
644,Pillen's Farm Pictures,1,13500,1695,0.00
645,Anderson Digital,1,13385,1638,0.00
646,7A Productions,1,13093,1644,0.00
647,FlyRock Media,1,12891,1585,0.00
648,FilmDemic,1,12620,1591,0.00
649,Lumpy Rock,1,12405,1935,0.00
650,Mile End Films,1,12306,1713,0.00
651,Fork Films,1,12267,1455,0.00
652,"Touch the Wall, LLC",1,12156,1487,0.00
653,Stand Up Films,1,12010,1745,0.00
654,41 Inc.,1,12000,1671,0.00
655,High Cotton Films,1,11975,1868,0.00
656,Aliquot Films,1,11799,1573,0.00
657,The Little Film Company/Dada Films,1,11711,1484,0.00
658,MSK Productions,1,11581,1544,0.00
659,Waterdog Films,1,11574,1466,0.00
660,Sony/BMG,1,11550,1678,0.00
661,Cinema Epoch,3,11500,1531,0.00
662,Mandt Brothers,1,11340,1579,0.00
663,Cinema Four,2,11228,1808,0.00
664,Icon Film Distribution,2,11190,1563,0.00
665,The Kids Are Alright Productions/Variance Films,1,11183,1417,0.00
666,Psychic Girls,1,11089,1729,0.00
667,"Shoot First, Inc.",1,11021,1348,0.00
668,Newport Films,1,11001,1679,0.00
669,Anchor Bay/Freestyle,1,10970,1301,0.00
670,All Rise Films,1,10942,1386,0.00
671,Silver Plane Films,1,10629,1658,0.00
672,Kino Classics,1,10600,1336,0.00
673,Mochary Films,1,10565,1612,0.00
674,Autlook Films,1,10172,1206,0.00
675,Mirror Images Ltd,1,10104,1198,0.00
676,City Drive Films,1,10021,1188,0.00
677,Red Flag Releasing,1,10000,1256,0.00
678,Area23a/FilmBuff,1,9939,1222,0.00
679,Bonfire Films of America,1,9796,1204,0.00
680,Mind the Gap,1,9496,1529,0.00
681,Random Media,1,9386,1511,0.00
682,Diversa Films,1,9344,1301,0.00
683,Vanguardia Films,1,9338,1148,0.00
684,Atlas Media Group,1,9166,1222,0.00
685,FilmMates Partners,1,9064,1414,0.00
686,Red Dirt Pictures,1,8752,1038,0.00
687,Lafayette Films,1,8443,1175,0.00
688,Laufer Films,1,8370,1277,0.00
689,D Street Releasing,1,8340,1212,0.00
690,Fox Meadow,1,8158,1185,0.00
691,The Talking Pictures Company,1,8030,1070,0.00
692,Iron Man Distr,1,8025,1166,0.00
693,Rumur,1,8018,1250,0.00
694,Ford Films,1,8000,1162,0.00
695,Microangelo Entertainment,1,7763,1185,0.00
696,26 Aries,1,7500,889,0.00
697,The Disinformation Co.,1,7451,1137,0.00
698,Vanish Films,1,7150,848,0.00
699,Real Bean Entertainment,1,7137,904,0.00
700,Andes Film Company,1,7123,1087,0.00
701,Trinity Film,1,7051,863,0.00
702,JSenko Productions,1,7028,833,0.00
703,Parade Deck Films,1,6840,811,0.00
704,The Documentary Group,1,6795,987,0.00
705,Kanbar Entertainment,1,6793,905,0.00
706,Liberation Entertainment,1,6627,922,0.00
707,Brink Film,1,6607,837,0.00
708,Afterlight Pictures,3,6523,816,0.00
709,Radio London Films,1,6404,930,0.00
710,Atlantik Films,1,6176,860,0.00
711,World Wide Motion Pictures,1,6000,835,0.00
712,Sumbadhat Productions,1,5995,799,0.00
713,Under the Milky Way,1,5872,696,0.00
714,Lightyear Entertainment,1,5711,677,0.00
715,Winter Star Entertainment,1,5673,719,0.00
716,Candy Factory Films,1,5654,670,0.00
717,Goodface Films,1,5588,683,0.00
718,Romantic Troubadour Entertainment,1,5508,767,0.00
719,HB Filmworks,2,5442,838,0.00
720,Baxter Brothers,1,5418,663,0.00
721,Hanover Multimedia,1,4950,587,0.00
722,CameraPlanet/Discovery,1,4920,792,0.00
723,Frontier,1,4779,729,0.00
724,Big Fat Movies,1,4655,726,0.00
725,"Eliot Lives Productions, LLC",1,4345,605,0.00
726,Humble Pie Films,1,4227,533,0.00
727,Shout! Factory,1,4091,500,0.00
728,Hybrid Pictures,1,4080,501,0.00
729,The Nobility Project,1,4000,504,0.00
730,Ohio Street Pictures,1,4000,492,0.00
731,Lonely Seal Releasing,1,3934,571,0.00
732,A-Mark Entertainment,1,3849,536,0.00
733,Dark Frames,1,3778,448,0.00
734,Minority Films,1,3724,580,0.00
735,Scarlet Sky Productions,1,3648,446,0.00
736,Plastic Age Productions,1,3632,458,0.00
737,Brothers' Ink Productions,1,3496,427,0.00
738,Reel One Entertainment / Supremacy Films,1,3442,408,0.00
739,Industrial House Films,1,3330,395,0.00
740,Arclight Films,1,3328,409,0.00
741,Midwest Movies,1,3140,395,0.00
742,IM Global/Blumhouse,1,3080,378,0.00
743,Facets,1,3027,439,0.00
744,Velvet Film,1,3000,367,0.00
745,Rogue Arts,1,2841,443,0.00
746,Watch Releasing,1,2598,418,0.00
747,RMH Media/Dominion Entertainment,1,2509,404,0.00
748,Carnivalesque Films,1,2500,381,0.00
749,Kaleidoscope Pictures,1,2500,363,0.00
750,RAM Releasing,1,2340,286,0.00
751,Eammon Films ,1,2300,290,0.00
752,Bullz Eye,2,2268,334,0.00
753,Plexifilm,1,2227,358,0.00
754,Reacter 88 Studios,1,2207,271,0.00
755,Movin' Picture Studios,1,1990,303,0.00
756,Cinema Con Sabor,1,1987,319,0.00
757,Garvity Arch,1,1872,235,0.00
758,JeTi Films,2,1863,322,0.00
759,Lumiere Productions,1,1806,281,0.00
760,Saban Films,1,1792,212,0.00
761,Zell-Koj Studio,1,1739,206,0.00
762,"Left of Center Entertainment, LLc",1,1626,199,0.00
763,Cineville,1,1600,249,0.00
764,Maverick Entertainment,1,1292,208,0.00
765,End of All Cinema,1,1262,196,0.00
766,Capitol Films,1,1260,168,0.00
767,Kathi Arts,1,1042,167,0.00
768,levelFILM,1,1037,127,0.00
769,Gunnison Galaxy,1,903,107,0.00
770,Cinevolve Studios,2,894,118,0.00
771,Oilrag Productions,1,831,126,0.00
772,Lavender House Films,1,401,55,0.00
